Level	Date and Time	Source	Event ID	Task Category
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.763
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\SmiProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.763
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.763
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\SetupPlatformProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.763
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\ProvProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\OSProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\OfflineSetupProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\MsiProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\LogProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\IntlProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\ImagingProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\IBSProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.748
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\GenericProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.748
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.732
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\FolderProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.732
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.732
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\FfuProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.732
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.716
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\DmiProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.716
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.716
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\DismProv.dll
CreationUtcTime: 2025-05-20 06:07:10.716
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: EXE
UtcTime: 2025-05-20 06:07:10.716
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\DismHost.exe
CreationUtcTime: 2025-05-20 06:07:10.716
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.701
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\DismCorePS.dll
CreationUtcTime: 2025-05-20 06:07:10.701
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.701
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\DismCore.dll
CreationUtcTime: 2025-05-20 06:07:10.701
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.701
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\CbsProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.701
User: DESKTOP-L7UOH9E\mohan"
